id,dataset,question_type,question_stem,improved_question,label,gold_choice,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model,error
causenet-mix-000087,causenet,causenet,"If agricultural runoff decreases, what happens to less pollution?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000075,causenet,causenet,"If evaporation decreases, what happens to less flooding?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000060,causenet,causenet,"If great earthquake increases, what happens to less epilepsy?",,less,B,False,no_effect,C,C,C,ministral-3:8b,
causenet-mix-000006,causenet,causenet,"If direct outcome of this artificial food source increases, what happens to more population?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000093,causenet,causenet,"If uvb radiation decreases, what happens to less wrinkles?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000047,causenet,causenet,"If heat exhaustion decreases, what happens to more dizziness?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000089,causenet,causenet,"If system decreases, what happens to less climate change?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000012,causenet,causenet,"If food allergens increases, what happens to more anaphylaxis?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000010,causenet,causenet,"If mysterious force increases, what happens to more expansion of the universe?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000049,causenet,causenet,"If pressure points decreases, what happens to more aches?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000082,causenet,causenet,"If oxidation process increases, what happens to less malfunction?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000020,causenet,causenet,"If invasive species increases, what happens to more losses?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000042,causenet,causenet,"If water damage increases, what happens to more mold?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000056,causenet,causenet,"If energy efficiency increases, what happens to less investment?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000051,causenet,causenet,"If carbon monoxide decreases, what happens to less infertility?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000054,causenet,causenet,"If crop failures increases, what happens to less starvation?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000072,causenet,causenet,"If greenhouse gas increases, what happens to less sea level?",,less,B,False,no_effect,C,C,C,ministral-3:8b,
causenet-mix-000019,causenet,causenet,"If explosions decreases, what happens to more chain reaction?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000096,causenet,causenet,"If pressure changes increases, what happens to less floods?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000098,causenet,causenet,"If powerful earthquake increases, what happens to less devastation?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000025,causenet,causenet,"If uv radiation decreases, what happens to more damage?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000094,causenet,causenet,"If water main break increases, what happens to less water damage?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000039,causenet,causenet,"If water pollution decreases, what happens to more environmental degradation?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000064,causenet,causenet,"If excess humidity increases, what happens to less skin to become dry?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000059,causenet,causenet,"If 2010 earthquake decreases, what happens to less casualties?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000053,causenet,causenet,"If small population size decreases, what happens to less extinction?",,more,A,False,less,B,B,B,ministral-3:8b,
