config_index,config_id,csv_id,question,question_type,improved_question,gold_answer,gold_choice,is_correct,cause_event,outcome_base
1,c686a016ab,causenet-mix-000087,"If agricultural runoff increases, what happens to MORE pollution?",,,more,A,False,agricultural runoff increases,pollution
1,c686a016ab,causenet-mix-000075,"If we increase increased evaporation, what is the effect on LESS flooding?",,,less,B,True,we increase increased evaporation,flooding
1,c686a016ab,causenet-mix-000060,"When great earthquake goes up, what happens to MORE epilepsy?",,,more,A,True,,
1,c686a016ab,causenet-mix-000089,"If we increase system, what is the effect on MORE climate change?",,,more,A,False,,
1,c686a016ab,causenet-mix-000047,Suppose heat exhaustion becomes more common. How does LESS dizziness change?,,,less,B,True,heat exhaustion becomes more common,dizziness
1,c686a016ab,causenet-mix-000006,"When direct outcome of this artificial food source goes up, what happens to increase in population?",,,more,A,True,,
1,c686a016ab,causenet-mix-000093,Suppose uvb radiation becomes more common. How does wrinkles change?,,,more,A,True,uvb radiation becomes more common,
1,c686a016ab,causenet-mix-000010,"When mysterious force goes up, what happens to LESS expansion of the universe?",,,less,B,True,,expansion of the universe
1,c686a016ab,causenet-mix-000012,"When food allergens goes up, what happens to anaphylaxis?",,,more,A,True,,
1,c686a016ab,causenet-mix-000049,"When pressure points goes up, what happens to MORE aches?",,,more,A,False,,
1,c686a016ab,causenet-mix-000082,"If we increase oxidation process, what is the effect on malfunction?",,,more,A,True,,
1,c686a016ab,causenet-mix-000020,"If invasive species increases, what happens to losses?",,,more,A,True,,
1,c686a016ab,causenet-mix-000042,"If we increase water damage, what is the effect on MORE mold?",,,more,A,True,we increase water damage,mold
1,c686a016ab,causenet-mix-000056,"When energy efficiency goes up, what happens to MORE investment?",,,more,A,True,,
1,c686a016ab,causenet-mix-000051,"If we increase carbon monoxide, what is the effect on LESS infertility?",,,less,B,False,we increase carbon monoxide,infertility
1,c686a016ab,causenet-mix-000054,Suppose crop failures becomes more common. How does starvation change?,,,more,A,False,crop failures becomes more common,starvation change
1,c686a016ab,causenet-mix-000072,Suppose greenhouse gas becomes more common. How does LESS rise in sea level change?,,,less,B,True,greenhouse gas becomes more common,rise in sea level change
1,c686a016ab,causenet-mix-000019,"When explosions goes up, what happens to chain reaction?",,,more,A,True,,
1,c686a016ab,causenet-mix-000096,"If pressure changes increases, what happens to MORE floods?",,,more,A,False,,
1,c686a016ab,causenet-mix-000098,"If powerful earthquake increases, what happens to MORE devastation?",,,more,A,True,powerful earthquake increases,devastation
1,c686a016ab,causenet-mix-000025,"When uv radiation goes up, what happens to MORE damage?",,,more,A,True,uv radiation goes up,damage
1,c686a016ab,causenet-mix-000094,"If water main break increases, what happens to MORE water damage?",,,more,A,True,water main break increases,water damage
1,c686a016ab,causenet-mix-000039,Suppose water pollution becomes more common. How does environmental degradation change?,,,more,A,True,water pollution becomes more common,
1,c686a016ab,causenet-mix-000064,"If excess humidity increases, what happens to MORE skin to become dry?",,,more,A,True,,
1,c686a016ab,causenet-mix-000059,"When 2010 earthquake goes up, what happens to more casualties?",,,more,A,True,,casualties
1,c686a016ab,causenet-mix-000053,"If small population size increases, what happens to extinction?",,,more,A,False,,
1,c686a016ab,causenet-mix-000021,"If heat-trapping gases increases, what happens to climate change?",,,more,A,True,,
1,c686a016ab,causenet-mix-000081,Suppose food production becomes more common. How does global climate change change?,,,more,A,False,food production becomes more common,global climate change
1,c686a016ab,causenet-mix-000002,"If we increase 1906 earthquake, what is the effect on MORE fire?",,,more,A,True,,
1,c686a016ab,causenet-mix-000024,Suppose earthquake becomes more common. How does MORE tsunami change?,,,more,A,False,earthquake becomes more common,tsunami change
1,c686a016ab,causenet-mix-000084,"If heat stress increases, what happens to LESS weakness?",,,less,B,False,,
1,c686a016ab,causenet-mix-000065,"When uvb radiation goes up, what happens to MORE wrinkles?",,,more,A,True,uvb radiation goes up,wrinkles
1,c686a016ab,causenet-mix-000077,"When water damages goes up, what happens to circumstances?",,,more,A,True,,
1,c686a016ab,causenet-mix-000036,"If sulfuric acid increases, what happens to MORE burns?",,,more,A,True,,burns
1,c686a016ab,causenet-mix-000023,"When 7.0 magnitude earthquake goes up, what happens to severe damage?",,,more,A,True,,
1,c686a016ab,causenet-mix-000080,Suppose storm water run-off becomes more common. How does LESS contamination of water change?,,,less,B,True,storm water run-off becomes more common,water contamination
1,c686a016ab,causenet-mix-000038,"If we increase uv-b radiation, what is the effect on damage?",,,more,A,True,,
1,c686a016ab,causenet-mix-000007,"When volcano goes up, what happens to earthquake?",,,more,A,True,,
1,c686a016ab,causenet-mix-000013,"If we increase storm system, what is the effect on strong winds?",,,more,A,True,,
1,c686a016ab,causenet-mix-000027,"When concentration goes up, what happens to insight?",,,more,A,True,,
1,c686a016ab,causenet-mix-000050,"If low tire pressure increases, what happens to tire failure?",,,more,A,False,,
1,c686a016ab,causenet-mix-000076,"If concentration increases, what happens to inefficiency?",,,more,A,True,,
1,c686a016ab,causenet-mix-000097,"If soil contamination increases, what happens to desertification?",,,more,A,True,,
1,c686a016ab,causenet-mix-000045,"If we increase uvb radiation, what is the effect on skin damage?",,,more,A,True,,
1,c686a016ab,causenet-mix-000037,"When minimally invasive surgery goes up, what happens to MORE faster recovery?",,,more,A,True,minimally invasive surgery goes up,faster recovery
1,c686a016ab,causenet-mix-000083,Suppose heat wave becomes more common. How does burns change?,,,more,A,True,heat wave becomes more common,
1,c686a016ab,causenet-mix-000035,Suppose lactic acid becomes more common. How does LESS cramps change?,,,less,B,False,lactic acid becomes more common.,cramps
1,c686a016ab,causenet-mix-000014,"If we increase cloud computing, what is the effect on LESS benefits?",,,less,B,True,,benefits
1,c686a016ab,causenet-mix-000079,Suppose increased precipitation becomes more common. How does significant property damage change?,,,more,A,True,increased precipitation becomes more common,significant property damage change
1,c686a016ab,causenet-mix-000043,Suppose storm water runoff becomes more common. How does LESS water pollution change?,,,less,B,True,storm water runoff becomes more common,water pollution change
1,c686a016ab,causenet-mix-000018,"When water main break goes up, what happens to flooding?",,,more,A,True,,
1,c686a016ab,causenet-mix-000086,"If we increase thermal radiation, what is the effect on LESS permanent scarring?",,,less,B,False,we increase thermal radiation,permanent scarring
1,c686a016ab,causenet-mix-000033,"If solar variation increases, what happens to climate change?",,,more,A,True,,
1,c686a016ab,causenet-mix-000074,"If we increase fertilizer, what is the effect on LESS depleted oxygen?",,,less,B,True,,
1,c686a016ab,causenet-mix-000088,"When reduction goes up, what happens to LESS global warming?",,,less,B,False,,
1,c686a016ab,causenet-mix-000066,"When accumulation of greenhouse gases goes up, what happens to ocean acidification?",,,more,A,True,,
1,c686a016ab,causenet-mix-000062,Suppose lipid oxidation becomes more common. How does mitochondrial dna mutations change?,,,more,A,True,lipid oxidation becomes more common,
1,c686a016ab,causenet-mix-000015,"If we increase reaction, what is the effect on MORE hives?",,,more,A,True,,
