id,dataset,question_type,question_stem,improved_question,label,gold_choice,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model,error
causenet-mix-000075,causenet,causenet,"If we decrease increased evaporation, what is the effect on flooding?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000087,causenet,causenet,"If agricultural runoff decreases, what happens to pollution?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000060,causenet,causenet,"When great earthquake goes up, what happens to epilepsy?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000047,causenet,causenet,Suppose heat exhaustion becomes less common. How does dizziness change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000093,causenet,causenet,Suppose uvb radiation becomes less common. How does wrinkles change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000006,causenet,causenet,"When direct outcome of this artificial food source goes up, what happens to increase in population?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000010,causenet,causenet,"When mysterious force goes up, what happens to expansion of the universe?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000089,causenet,causenet,"If we decrease system, what is the effect on climate change?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000049,causenet,causenet,"When pressure points goes down, what happens to aches?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000012,causenet,causenet,"When food allergens goes up, what happens to anaphylaxis?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000082,causenet,causenet,"If we increase oxidation process, what is the effect on malfunction?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000020,causenet,causenet,"If invasive species increases, what happens to losses?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000042,causenet,causenet,"If we increase water damage, what is the effect on mold?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000056,causenet,causenet,"When energy efficiency goes up, what happens to investment?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000051,causenet,causenet,"If we decrease carbon monoxide, what is the effect on infertility?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000054,causenet,causenet,Suppose crop failures becomes more common. How does starvation change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000072,causenet,causenet,Suppose greenhouse gas becomes more common. How does rise in sea level change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000019,causenet,causenet,"When explosions goes down, what happens to chain reaction?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000096,causenet,causenet,"If pressure changes increases, what happens to floods?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000098,causenet,causenet,"If powerful earthquake increases, what happens to devastation?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000025,causenet,causenet,"When uv radiation goes down, what happens to damage?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000094,causenet,causenet,"If water main break increases, what happens to water damage?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000039,causenet,causenet,Suppose water pollution becomes less common. How does environmental degradation change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000064,causenet,causenet,"If excess humidity increases, what happens to skin to become dry?",,more,A,False,less,B,B,B,qwen2.5:7b,
causenet-mix-000059,causenet,causenet,"When 2010 earthquake goes down, what happens to casualties?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000053,causenet,causenet,"If small population size decreases, what happens to extinction?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000021,causenet,causenet,"If heat-trapping gases decreases, what happens to climate change?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000081,causenet,causenet,Suppose food production becomes less common. How does global climate change change?,,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000002,causenet,causenet,"If we increase 1906 earthquake, what is the effect on fire?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000024,causenet,causenet,Suppose earthquake becomes more common. How does tsunami change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000084,causenet,causenet,"If heat stress increases, what happens to weakness?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000065,causenet,causenet,"When uvb radiation goes down, what happens to wrinkles?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000077,causenet,causenet,"When water damages goes down, what happens to circumstances?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000036,causenet,causenet,"If sulfuric acid increases, what happens to burns?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000023,causenet,causenet,"When 7.0 magnitude earthquake goes down, what happens to severe damage?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000080,causenet,causenet,Suppose storm water run-off becomes more common. How does contamination of water change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000038,causenet,causenet,"If we increase uv-b radiation, what is the effect on damage?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000007,causenet,causenet,"When volcano goes down, what happens to earthquake?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000013,causenet,causenet,"If we decrease storm system, what is the effect on strong winds?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000027,causenet,causenet,"When concentration goes down, what happens to insight?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000050,causenet,causenet,"If low tire pressure increases, what happens to tire failure?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000076,causenet,causenet,"If concentration increases, what happens to inefficiency?",,more,A,False,less,B,B,B,qwen2.5:7b,
causenet-mix-000097,causenet,causenet,"If soil contamination decreases, what happens to desertification?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000045,causenet,causenet,"If we decrease uvb radiation, what is the effect on skin damage?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000037,causenet,causenet,"When minimally invasive surgery goes down, what happens to faster recovery?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000083,causenet,causenet,Suppose heat wave becomes less common. How does burns change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000035,causenet,causenet,Suppose lactic acid becomes less common. How does cramps change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000014,causenet,causenet,"If we increase cloud computing, what is the effect on benefits?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000079,causenet,causenet,Suppose increased precipitation becomes less common. How does significant property damage change?,,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000043,causenet,causenet,Suppose storm water runoff becomes less common. How does water pollution change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000018,causenet,causenet,"When water main break goes up, what happens to flooding?",,more,A,True,more,A,A,A,qwen2.5:7b,
