id,question_type,label,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model
0,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
1,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
2,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
3,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
4,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
5,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
6,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
7,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
8,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
9,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
10,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
11,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
12,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
13,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
14,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
15,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
16,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
17,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
18,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
19,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
20,ddxplus,no effect,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
21,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
22,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
23,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
24,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
25,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
26,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
27,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
